Senser01,Senser03,Senser02
754,-2665,0
755,-2662,0
756,-2660,0
757,-2657,0
758,-2654,0
759,-2652,0
760,-2649,0
761,-2647,0
762,-2644,0
763,-2641,0
764,-2639,0
765,-2636,0
766,-2634,0
767,-2631,0
768,-2628,0
769,-2626,0
770,-2623,0
771,-2621,0
772,-2618,0
773,-2615,0
774,-2612,0
775,-2609,0
776,-2607,0
777,-2604,0
778,-2601,0
779,-2599,0
780,-2596,0
781,-2594,0
782,-2591,0
783,-2588,0
784,-2585,0
785,-2582,0
786,-2580,0
787,-2577,0
788,-2574,0
789,-2571,0
790,-2568,0
791,-2566,0
792,-2563,0
793,-2560,0
794,-2557,0
795,-2554,0
796,-2552,0
797,-2548,0
798,-2545,0
799,-2543,0
800,-2540,0
801,-2537,0
802,-2534,0
803,-2531,0
804,-2528,0
805,-2525,0
806,-2523,0
807,-2519,0
808,-2516,0
809,-2514,0
810,-2510,0
811,-2508,0
812,-2505,0
813,-2501,0
814,-2499,0
815,-2495,0
816,-2493,0
817,-2490,0
818,-2486,0
819,-2484,0
820,-2480,0
821,-2478,0
822,-2474,0
823,-2471,0
824,-2468,0
825,-2465,0
826,-2462,0
827,-2459,0
828,-2456,0
829,-2453,0
830,-2449,0
831,-2447,0
832,-2443,0
833,-2440,0
834,-2437,0
835,-2434,0
836,-2431,0
837,-2428,0
838,-2424,0
839,-2421,0
840,-2418,0
841,-2415,0
842,-2412,0
843,-2408,0
844,-2405,0
845,-2402,0
846,-2399,0
847,-2396,0
848,-2392,0
849,-2389,0
850,-2386,0
851,-2383,0
852,-2379,0
853,-2376,0
854,-2373,0
855,-2369,0
856,-2366,0
857,-2363,0
858,-2359,0
859,-2356,0
860,-2352,0
861,-2350,0
862,-2346,0
863,-2342,0
864,-2339,0
865,-2336,0
866,-2333,0
867,-2329,0
868,-2325,0
869,-2322,0
870,-2319,0
871,-2316,0
872,-2312,0
873,-2308,0
874,-2305,0
875,-2301,0
876,-2299,0
877,-2295,0
878,-2291,0
879,-2288,0
880,-2284,0
881,-2281,0
882,-2277,0
883,-2273,0
884,-2270,0
885,-2266,0
886,-2264,0
887,-2260,0
888,-2256,0
889,-2253,0
890,-2249,0
891,-2246,0
892,-2242,0
893,-2238,0
894,-2235,0
895,-2231,0
896,-2228,0
897,-2224,0
898,-2220,0
899,-2217,0
900,-2213,0
901,-2210,0
902,-2206,0
903,-2202,0
904,-2198,0
905,-2194,0
906,-2191,0
907,-2187,0
908,-2183,0
909,-2180,0
910,-2176,0
911,-2173,0
912,-2169,0
913,-2165,0
914,-2161,0
915,-2157,0
916,-2154,0
917,-2150,0
918,-2146,0
919,-2143,0
920,-2138,0
921,-2135,0
922,-2131,0
923,-2127,0
924,-2124,0
925,-2119,0
926,-2116,0
927,-2112,0
928,-2108,0
929,-2105,0
930,-2100,0
931,-2097,0
932,-2093,0
933,-2088,0
934,-2085,0
935,-2081,0
936,-2078,0
937,-2073,0
938,-2069,0
939,-2066,0
940,-2061,0
941,-2058,0
942,-2054,0
943,-2049,0
944,-2046,0
945,-2042,0
946,-2038,0
947,-2034,0
948,-2030,0
949,-2026,0
950,-2022,0
951,-2018,0
952,-2014,0
953,-2010,0
954,-2006,0
955,-2002,0
956,-1998,0
957,-1994,0
958,-1989,0
959,-1986,0
960,-1981,0
961,-1978,0
962,-1974,0
963,-1969,0
964,-1966,0
965,-1961,0
966,-1958,0
967,-1953,0
968,-1949,0
969,-1945,0
970,-1940,0
971,-1937,0
972,-1932,0
973,-1928,0
974,-1924,0
975,-1920,0
976,-1916,0
977,-1912,0
978,-1907,0
979,-1903,0
980,-1899,0
981,-1895,0
982,-1891,0
983,-1886,0
984,-1882,0
985,-1878,0
986,-1874,0
987,-1870,0
988,-1865,0
989,-1861,0
990,-1856,0
991,-1853,0
992,-1848,0
993,-1843,0
994,-1840,0
995,-1835,0
996,-1831,0
997,-1827,0
998,-1822,0
999,-1818,0
1000,-1813,0
1001,-1810,0
1002,-1805,0
1003,-1800,0
1004,-1797,0
1005,-1792,0
1006,-1788,0
1007,-1783,0
1008,-1778,0
1009,-1775,0
1010,-1770,0
1011,-1766,0
1012,-1761,0
1013,-1756,0
1014,-1753,0
1015,-1748,0
1016,-1744,0
1017,-1739,0
1018,-1734,0
1019,-1730,0
1020,-1725,0
1021,-1722,0
1022,-1717,0
1023,-1712,0
1024,-1708,0
1025,-1703,0
1026,-1699,0
1027,-1694,0
1028,-1689,0
1029,-1686,0
1030,-1681,0
1031,-1677,0
1032,-1672,0
1033,-1667,0
1034,-1663,0
1035,-1658,0
1036,-1654,0
1037,-1649,0
1038,-1644,0
1039,-1640,0
1040,-1635,0
1041,-1631,0
1042,-1626,0
1043,-1621,0
1044,-1617,0
1045,-1612,0
1046,-1608,0
1047,-1603,0
1048,-1598,0
1049,-1594,0
1050,-1589,0
1051,-1585,0
1052,-1580,0
1053,-1574,0
1054,-1570,0
1055,-1565,0
1056,-1561,0
1057,-1556,0
1058,-1551,0
1059,-1547,0
1060,-1542,0
1061,-1538,0
1062,-1533,0
1063,-1527,0
1064,-1524,0
1065,-1518,0
1066,-1514,0
1067,-1509,0
1068,-1504,0
1069,-1500,0
1070,-1495,0
1071,-1491,0
1072,-1486,0
1073,-1481,0
1074,-1477,0
1075,-1472,0
1076,-1468,0
1077,-1463,0
1078,-1458,0
1079,-1454,0
1080,-1449,0
1081,-1445,0
1082,-1440,0
1083,-1434,0
1084,-1431,0
1085,-1425,0
1086,-1422,0
1087,-1416,0
1088,-1411,0
1089,-1407,0
1090,-1402,0
1091,-1398,0
1092,-1393,0
1093,-1388,0
1094,-1384,0
1095,-1379,0
1096,-1375,0
1097,-1370,0
1098,-1365,0
1099,-1361,0
1100,-1356,0
1101,-1353,0
1102,-1347,0
1103,-1342,0
1104,-1339,0
1105,-1333,0
1106,-1330,0
1107,-1325,0
1108,-1319,0
1109,-1316,0
1110,-1311,0
1111,-1307,0
1112,-1302,0
1113,-1297,0
1114,-1293,0
1115,-1288,0
1116,-1284,0
1117,-1279,0
1118,-1274,0
1119,-1270,0
1120,-1265,0
1121,-1261,0
1122,-1256,0
1123,-1251,0
1124,-1247,0
1125,-1242,0
1126,-1239,0
1127,-1234,0
1128,-1229,0
1129,-1225,0
1130,-1220,0
1131,-1216,0
1132,-1211,0
1133,-1206,0
1134,-1202,0
1135,-1197,0
1136,-1193,0
1137,-1188,0
1138,-1183,0
1139,-1180,0
1140,-1175,0
1141,-1171,0
1142,-1166,0
1143,-1161,0
1144,-1157,0
1145,-1152,0
1146,-1149,0
1147,-1144,0
1148,-1139,0
1149,-1135,0
1150,-1130,0
1151,-1126,0
1152,-1121,0
1153,-1116,0
1154,-1112,0
1155,-1108,0
1156,-1104,0
1157,-1099,0
1158,-1094,0
1159,-1090,0
1160,-1085,0
1161,-1081,0
1162,-1077,0
1163,-1072,0
1164,-1068,0
1165,-1063,0
1166,-1059,0
1167,-1054,0
1168,-1049,0
1169,-1046,0
1170,-1041,0
1171,-1037,0
1172,-1032,0
1173,-1027,0
1174,-1024,0
1175,-1019,0
1176,-1015,0
1177,-1010,0
1178,-1005,0
1179,-1001,0
1180,-996,0
1181,-993,0
1182,-988,0
1183,-983,0
1184,-979,0
1185,-974,0
1186,-971,0
1187,-966,0
1188,-961,0
1189,-957,0
1190,-952,0
1191,-949,0
1192,-944,0
1193,-939,0
1194,-935,0
1195,-930,0
1196,-927,0
1197,-922,0
1198,-917,0
1199,-913,0
1200,-909,0
1201,-905,0
1202,-900,0
1203,-895,0
1204,-892,0
1205,-887,0
1206,-883,0
1207,-878,0
1208,-873,0
1209,-870,0
1210,-865,0
1211,-861,0
1212,-856,0
1213,-852,0
1214,-848,0
1215,-843,0
1216,-839,0
1217,-835,0
1218,-830,0
1219,-826,0
1220,-821,0
1221,-818,0
1222,-813,0
1223,-808,0
1224,-804,0
1225,-800,0
1226,-796,0
1227,-791,0
1228,-786,0
1229,-783,0
1230,-778,0
1231,-774,0
1232,-770,0
1233,-765,0
1234,-761,0
1235,-756,0
1236,-753,0
1237,-748,0
1238,-743,0
1239,-740,0
1240,-735,0
1241,-731,0
1242,-726,0
1243,-722,0
1244,-718,0
1245,-713,0
1246,-710,0
1247,-705,0
1248,-700,0
1249,-697,0
1250,-692,0
1251,-688,0
