Senser01,Senser03,Senser02
858,-4903,0
859,-4903,0
860,-4903,0
861,-4904,0
862,-4904,0
863,-4904,0
864,-4904,0
865,-4905,0
866,-4905,0
867,-4905,0
868,-4906,0
869,-4906,0
870,-4906,0
871,-4907,0
872,-4907,0
873,-4907,0
874,-4907,0
875,-4908,0
876,-4908,0
877,-4908,0
878,-4909,0
879,-4909,0
880,-4909,0
881,-4910,0
882,-4910,0
883,-4910,0
884,-4910,0
885,-4911,0
886,-4911,0
887,-4911,0
888,-4912,0
889,-4912,0
890,-4912,0
891,-4912,0
892,-4912,0
893,-4912,0
894,-4912,0
895,-4912,0
896,-4912,0
897,-4912,0
898,-4912,0
899,-4912,0
900,-4912,0
901,-4912,0
902,-4912,0
903,-4912,0
904,-4912,0
905,-4912,0
906,-4912,0
907,-4912,0
908,-4912,0
909,-4912,0
910,-4912,0
911,-4912,0
912,-4912,0
913,-4912,0
914,-4912,0
915,-4912,0
916,-4912,0
917,-4912,0
918,-4912,0
919,-4912,0
920,-4912,0
921,-4912,0
922,-4912,0
923,-4912,0
924,-4912,0
925,-4912,0
926,-4912,0
927,-4912,0
928,-4912,0
929,-4912,0
930,-4912,0
931,-4912,0
932,-4912,0
933,-4912,0
934,-4912,0
935,-4912,0
936,-4912,0
937,-4912,0
938,-4912,0
939,-4912,0
940,-4912,0
941,-4912,0
942,-4912,0
943,-4912,0
944,-4912,0
945,-4912,0
946,-4912,0
947,-4912,0
948,-4912,0
949,-4912,0
950,-4912,0
951,-4912,0
952,-4912,0
953,-4912,0
954,-4912,0
955,-4912,0
956,-4912,0
957,-4912,0
958,-4912,0
959,-4912,0
960,-4912,0
961,-4912,0
962,-4912,0
963,-4912,0
964,-4912,0
965,-4912,0
966,-4912,0
967,-4912,0
968,-4912,0
969,-4912,0
970,-4912,0
971,-4912,0
972,-4912,0
973,-4912,0
974,-4912,0
975,-4912,0
976,-4912,0
977,-4912,0
978,-4912,0
979,-4912,0
980,-4912,0
981,-4912,0
982,-4912,0
983,-4912,0
984,-4912,0
985,-4912,0
986,-4912,0
987,-4912,0
988,-4912,0
989,-4912,0
990,-4912,0
991,-4912,0
992,-4912,0
993,-4912,0
994,-4912,0
995,-4912,0
996,-4912,0
997,-4912,0
998,-4912,0
999,-4912,0
1000,-4912,0
1001,-4912,0
1002,-4912,0
1003,-4912,0
1004,-4912,0
1005,-4912,0
1006,-4912,0
1007,-4912,0
1008,-4912,0
1009,-4912,0
1010,-4912,0
1011,-4912,0
1012,-4912,0
1013,-4912,0
1014,-4912,0
1015,-4912,0
1016,-4912,0
1017,-4912,0
1018,-4912,0
1019,-4912,0
1020,-4912,0
1021,-4912,0
1022,-4912,0
1023,-4912,0
1024,-4912,0
1025,-4912,0
1026,-4912,0
1027,-4912,0
1028,-4912,0
1029,-4912,0
1030,-4912,0
1031,-4912,0
1032,-4912,0
1033,-4912,0
1034,-4912,0
1035,-4912,0
1036,-4912,0
1037,-4912,0
1038,-4912,0
1039,-4912,0
1040,-4912,0
1041,-4912,0
1042,-4912,0
1043,-4912,0
1044,-4912,0
1045,-4912,0
1046,-4912,0
1047,-4912,0
1048,-4912,0
1049,-4912,0
1050,-4912,0
1051,-4912,0
1052,-4912,0
1053,-4912,0
1054,-4912,0
1055,-4912,0
1056,-4912,0
1057,-4912,0
1058,-4912,0
1059,-4912,0
1060,-4912,0
1061,-4912,0
1062,-4912,0
1063,-4912,0
1064,-4912,0
1065,-4912,0
1066,-4912,0
1067,-4912,0
1068,-4912,0
1069,-4912,0
1070,-4912,0
1071,-4912,0
1072,-4912,0
1073,-4912,0
1074,-4912,0
1075,-4912,0
1076,-4912,0
1077,-4912,0
1078,-4912,0
1079,-4912,0
1080,-4912,0
1081,-4912,0
1082,-4912,0
1083,-4912,0
1084,-4912,0
1085,-4912,0
1086,-4912,0
1087,-4912,0
1088,-4912,0
1089,-4912,0
1090,-4912,0
1091,-4912,0
1092,-4912,0
1093,-4912,0
1094,-4912,0
1095,-4912,0
1096,-4912,0
1097,-4912,0
1098,-4912,0
