Senser01,Senser02,Senser03,Senser04
5518,712,-3132,0
5526,681,-3132,0
5534,649,-3132,0
5542,616,-3132,0
5550,586,-3132,0
5557,552,-3133,0
5565,527,-3133,0
5573,496,-3133,0
5581,471,-3133,0
5589,446,-3133,0
5596,421,-3133,0
5604,395,-3133,0
5612,371,-3133,0
5620,350,-3133,0
5628,330,-3133,0
5636,310,-3133,0
5643,291,-3133,0
5651,272,-3133,0
5658,259,-3133,0
5666,244,-3133,0
5674,229,-3133,0
5681,216,-3133,0
5689,207,-3133,0
5696,193,-3133,0
5704,186,-3133,0
5739,153,-3133,0
5743,151,-3133,0
5750,149,-3134,0
5758,145,-3134,0
5766,141,-3134,0
5774,134,-3134,0
5781,131,-3134,0
5789,129,-3134,0
5797,125,-3134,0
5804,122,-3134,0
5812,119,-3134,0
5820,113,-3134,0
5828,111,-3134,0
5836,109,-3134,0
5844,107,-3134,0
5851,104,-3134,0
5858,102,-3134,0
5866,99,-3134,0
5874,94,-3134,0
5882,92,-3134,0
5889,91,-3134,0
5897,90,-3134,0
5904,89,-3134,0
5912,88,-3134,0
5920,86,-3135,0
5928,84,-3135,0
5936,82,-3135,0
5944,81,-3135,0
5952,79,-3135,0
5960,74,-3135,0
5968,72,-3135,0
5976,71,-3135,0
5984,70,-3135,0
5992,69,-3135,0
5999,68,-3135,0
6007,66,-3135,0
6015,64,-3135,0
6023,62,-3135,0
6031,61,-3135,0
6039,58,-3135,0
6047,53,-3135,0
6055,51,-3135,0
6062,50,-3135,0
6070,49,-3135,0
6078,47,-3135,0
6086,43,-3135,0
6094,41,-3135,0
6102,38,-3135,0
6110,33,-3135,0
6118,31,-3135,0
6126,30,-3135,0
6134,28,-3135,0
6142,25,-3135,0
6149,22,-3135,0
6157,20,-3135,0
6165,14,-3135,0
6173,12,-3135,0
6180,10,-3135,0
6188,8,-3135,0
6196,5,-3135,0
6204,2,-3135,0
6212,0,-3135,0
6220,-6,-3135,0
6228,-8,-3135,0
6236,-9,-3135,0
6244,-10,-3135,0
6252,-11,-3135,0
6260,-13,-3135,0
6267,-15,-3135,0
6275,-17,-3135,0
6283,-19,-3135,0
6291,-22,-3135,0
6299,-27,-3135,0
6307,-28,-3135,0
6314,-29,-3135,0
6322,-30,-3134,0
6330,-31,-3134,0
6338,-32,-3134,0
6346,-33,-3134,0
6354,-35,-3134,0
6361,-36,-3134,0
6369,-38,-3134,0
6376,-38,-3134,0
6384,-39,-3134,0
6392,-40,-3134,0
6399,-41,-3133,0
6407,-42,-3133,0
6414,-45,-3133,0
6422,-46,-3133,0
6430,-47,-3133,0
6438,-48,-3133,0
6445,-49,-3133,0
6453,-50,-3133,0
6460,-50,-3133,0
6468,-51,-3133,0
6476,-51,-3133,0
6484,-51,-3133,0
6492,-52,-3133,0
6500,-52,-3133,0
6508,-53,-3133,0
6516,-54,-3133,0
6523,-55,-3133,0
6531,-55,-3133,0
6539,-56,-3133,0
6547,-57,-3133,0
6555,-57,-3133,0
6562,-58,-3133,0
6570,-58,-3133,0
6578,-58,-3133,0
6586,-58,-3133,0
6594,-58,-3133,0
6602,-58,-3133,0
6610,-58,-3133,0
6617,-58,-3133,0
6626,-58,-3133,0
6633,-58,-3133,0
6641,-58,-3133,0
6649,-57,-3133,0
6657,-56,-3133,0
6664,-56,-3133,0
6672,-55,-3133,0
6680,-54,-3133,0
6688,-54,-3133,0
6696,-53,-3133,0
6704,-53,-3133,0
6712,-52,-3133,0
6720,-52,-3133,0
6728,-52,-3133,0
6736,-52,-3133,0
6744,-51,-3133,0
6752,-51,-3133,0
6760,-50,-3133,0
6768,-50,-3133,0
6776,-49,-3133,0
6784,-49,-3133,0
6792,-49,-3133,0
6799,-49,-3133,0
6807,-48,-3132,0
6815,-48,-3132,0
6822,-47,-3132,0
6830,-47,-3132,0
6838,-47,-3131,0
6846,-47,-3131,0
6854,-47,-3131,0
6862,-47,-3131,0
6869,-46,-3131,0
6877,-46,-3131,0
6885,-45,-3131,0
6893,-45,-3131,0
6901,-45,-3131,0
6908,-45,-3131,0
6916,-45,-3131,0
6924,-45,-3131,0
6932,-45,-3131,0
6940,-45,-3131,0
6948,-45,-3131,0
6955,-45,-3131,0
6963,-45,-3131,0
6970,-45,-3131,0
6978,-45,-3131,0
6986,-45,-3131,0
6994,-45,-3131,0
7002,-45,-3131,0
7009,-45,-3131,0
7016,-45,-3131,0
7024,-45,-3131,0
7031,-45,-3131,0
7039,-45,-3131,0
7046,-45,-3130,0
7054,-44,-3130,0
7062,-43,-3130,0
7069,-42,-3130,0
7077,-41,-3130,0
7084,-41,-3130,0
7092,-40,-3129,0
7100,-39,-3129,0
7108,-39,-3129,0
7115,-38,-3129,0
7123,-37,-3129,0
7130,-35,-3129,0
7138,-34,-3129,0
7146,-33,-3129,0
7154,-33,-3129,0
7161,-32,-3129,0
7169,-32,-3129,0
7177,-31,-3129,0
7184,-31,-3129,0
7192,-31,-3129,0
7200,-30,-3129,0
7208,-30,-3129,0
7216,-30,-3129,0
7224,-30,-3129,0
7232,-29,-3129,0
7240,-29,-3129,0
7248,-29,-3129,0
7256,-29,-3129,0
7264,-28,-3129,0
7272,-28,-3129,0
7280,-28,-3129,0
7288,-28,-3129,0
7296,-27,-3129,0
7304,-26,-3129,0
7312,-24,-3129,0
7319,-23,-3129,0
7326,-22,-3129,0
7334,-22,-3129,0
7342,-21,-3129,0
7349,-21,-3129,0
7357,-20,-3129,0
7365,-20,-3129,0
7373,-20,-3129,0
7381,-20,-3129,0
7389,-20,-3129,0
