Senser01,Senser02,Senser03,Senser04
20566,-1,-1575,0
20598,-3,-1705,0
20630,-3,-1834,0
20662,-3,-1965,0
20693,-3,-2091,0
20724,-3,-2225,0
20755,-3,-2358,0
20786,-3,-2494,0
20817,-3,-2639,0
20850,-3,-2787,0
20881,-3,-2920,0
20911,-3,-3054,0
20941,-3,-3187,0
20970,-3,-3330,0
21001,-3,-3479,0
21033,-3,-3628,0
21065,-2,-3774,0
21097,-2,-3907,0
21127,-2,-4016,0
21158,-2,-4121,0
21189,-2,-4221,0
21221,-2,-4317,0
21252,-2,-4411,0
21284,-2,-4492,0
21314,-2,-4560,0
21345,-2,-4624,0
21376,-2,-4679,0
21405,-2,-4727,0
21436,-2,-4765,0
21467,-3,-4787,0
21498,-3,-4805,0
21529,-3,-4819,0
21559,-3,-4829,0
21587,-3,-4838,0
21617,-3,-4846,0
21649,-3,-4854,0
21679,-3,-4865,0
21710,-3,-4873,0
21739,-3,-4881,0
21769,-3,-4891,0
21801,-3,-4903,0
21832,-3,-4912,0
21863,-3,-4919,0
21895,-3,-4926,0
21928,-3,-4927,0
21957,-2,-4927,0
21987,-2,-4927,0
22019,-1,-4927,0
22053,-1,-4932,0
22085,0,-4941,0
22116,0,-4952,0
22146,0,-4953,0
22176,0,-4955,0
22208,0,-4957,0
22240,0,-4958,0
22274,0,-4958,0
22308,0,-4958,0
22338,0,-4959,0
22369,0,-4959,0
22401,0,-4959,0
22433,1,-4960,0
22466,2,-4960,0
22500,3,-4960,0
22530,3,-4960,0
22557,3,-4960,0
22589,3,-4960,0
22620,3,-4960,0
22653,3,-4960,0
22685,3,-4960,0
22716,3,-4960,0
22747,3,-4960,0
22779,4,-4960,0
22811,6,-4960,0
22845,6,-4961,0
22880,6,-4962,0
22912,6,-4962,0
22945,6,-4963,0
22976,6,-4965,0
23008,7,-4965,0
23039,7,-4966,0
23071,7,-4966,0
23102,7,-4966,0
23133,7,-4966,0
23165,7,-4966,0
23195,7,-4966,0
23226,4,-4966,0
23257,3,-4966,0
23286,2,-4967,0
23316,2,-4967,0
23346,1,-4967,0
23378,0,-4967,0
23409,0,-4967,0
23442,-1,-4967,0
23475,-4,-4967,0
23507,-7,-4968,0
23539,-9,-4969,0
23571,-14,-4970,0
23604,-16,-4970,0
23635,-17,-4971,0
23666,-18,-4972,0
23698,-20,-4973,0
23729,-21,-4973,0
23760,-24,-4973,0
23791,-25,-4974,0
23821,-27,-4975,0
23852,-29,-4976,0
23882,-32,-4978,0
23914,-35,-4978,0
23948,-37,-4979,0
23980,-38,-4980,0
24013,-38,-4980,0
24043,-38,-4981,0
24075,-30,-4982,0
24107,-23,-4982,0
24140,-19,-4982,0
24173,-10,-4982,0
24204,-2,-4982,0
24237,2,-4985,0
24270,12,-4986,0
24301,19,-4987,0
24333,23,-4987,0
24364,32,-4987,0
24394,39,-4987,0
24425,43,-4987,0
24456,53,-4987,0
24488,60,-4987,0
24520,63,-4987,0
24551,71,-4987,0
24582,76,-4987,0
24613,81,-4987,0
24645,88,-4987,0
24676,94,-4987,0
24707,100,-4987,0
24739,102,-4987,0
24771,112,-4987,0
24803,119,-4987,0
24833,123,-4987,0
24864,136,-4987,0
24895,149,-4987,0
24925,172,-4987,0
24954,219,-4987,0
24984,294,-4987,0
25015,389,-4987,0
25046,497,-4987,0
25077,603,-4987,0
25108,732,-4987,0
25139,879,-4987,0
25170,1030,-4987,0
25201,1190,-4987,0
25232,1342,-4987,0
25265,1501,-4987,0
25295,1652,-4987,0
25326,1800,-4987,0
25357,1952,-4987,0
25387,2101,-4987,0
25419,2259,-4987,0
25451,2415,-4987,0
25483,2562,-4987,0
25515,2710,-4987,0
25547,2856,-4987,0
25579,2997,-4987,0
25611,3139,-4987,0
25644,3279,-4987,0
25676,3411,-4988,0
25707,3533,-4988,0
25737,3653,-4988,0
25769,3774,-4989,0
25800,3891,-4989,0
25831,4002,-4989,0
25863,4119,-4990,0
25894,4222,-4991,0
25926,4321,-4992,0
25957,4418,-4992,0
25988,4505,-4992,0
26020,4597,-4992,0
26052,4679,-4993,0
26085,4759,-4993,0
26117,4836,-4993,0
26150,4902,-4994,0
26181,4963,-4995,0
26213,5019,-4995,0
26243,5070,-4995,0
26275,5118,-4996,0
26306,5160,-4998,0
26338,5199,-5000,0
26368,5232,-5000,0
26399,5260,-5000,0
26431,5281,-5000,0
26462,5300,-5000,0
26493,5313,-5000,0
26526,5320,-5000,0
26557,5322,-5000,0
26589,5322,-5000,0
26622,5320,-5000,0
26654,5306,-5000,0
26687,5292,-5000,0
26718,5271,-5000,0
26749,5243,-5000,0
26780,5216,-5000,0
26810,5183,-4994,0
26838,5149,-4980,0
26868,5108,-4967,0
26898,5062,-4953,0
26929,5011,-4946,0
26959,4952,-4940,0
26992,4883,-4936,0
27024,4815,-4936,0
27057,4741,-4936,0
27088,4663,-4936,0
27117,4592,-4929,0
27145,4513,-4921,0
27175,4430,-4912,0
27205,4341,-4905,0
27235,4242,-4894,0
27266,4141,-4888,0
27297,4030,-4878,0
27328,3917,-4869,0
27359,3802,-4860,0
27389,3683,-4850,0
27420,3563,-4841,0
27453,3437,-4831,0
27484,3303,-4821,0
27515,3180,-4808,0
27545,3053,-4789,0
27574,2921,-4762,0
27606,2781,-4720,0
27638,2641,-4673,0
27668,2494,-4616,0
27698,2356,-4553,0
27729,2211,-4488,0
27758,2069,-4406,0
27791,1912,-4319,0
27822,1761,-4225,0
27852,1612,-4119,0
27883,1459,-4004,0
